3782,"Mobile Regional Airport","Mobile","United States","MOB","KMOB",30.691200256348,-88.242797851562,219,-6,"A","America/Chicago","airport","OurAirports"
3783,"Moffett Federal Airfield","Mountain View","United States","NUQ","KNUQ",37.416099548339844,-122.04900360107422,32,-8,"A","America/Los_Angeles","airport","OurAirports"
3784,"Santa Fe Municipal Airport","Santa Fe","United States","SAF","KSAF",35.617099762,-106.088996887,6348,-7,"A","America/Denver","airport","OurAirports"
3785,"Barking Sands Airport","Barking Sands","United States","BKH","PHBK",22.022800445599998,-159.785003662,23,-10,"A","Pacific/Honolulu","airport","OurAirports"
3786,"Beauregard Regional Airport","Deridder","United States","DRI","KDRI",30.8316993713,-93.33989715579999,202,-6,"A","America/Chicago","airport","OurAirports"
3787,"Bradshaw Army Airfield","Bradshaw Field","United States","BSF","PHSF",19.760099411,-155.554000854,6190,-10,"A","Pacific/Honolulu","airport","OurAirports"
3788,"Nogales International Airport","Nogales","United States","OLS","KOLS",31.417699813842773,-110.8479995727539,3955,-7,"A","America/Phoenix","airport","OurAirports"
3789,"Mac Dill Air Force Base","Tampa","United States","MCF","KMCF",27.84930038,-82.52120209,14,-5,"A","America/New_York","airport","OurAirports"
3790,"Scott AFB/Midamerica Airport","Belleville","United States","BLV","KBLV",38.5452,-89.835197,459,-6,"A","America/Chicago","airport","OurAirports"
3791,"Opa-locka Executive Airport","Miami","United States","OPF","KOPF",25.90699959,-80.27839661,8,-5,"A","America/New_York","airport","OurAirports"
3792,"Del Rio International Airport","Del Rio","United States","DRT","KDRT",29.3742008209,-100.927001953,1002,-6,"A","America/Chicago","airport","OurAirports"
3793,"Southwest Florida International Airport","Fort Myers","United States","RSW","KRSW",26.53619956970215,-81.75520324707031,30,-5,"A","America/New_York","airport","OurAirports"
3794,"King Salmon Airport","King Salmon","United States","AKN","PAKN",58.67679977,-156.6490021,73,-9,"A","America/Anchorage","airport","OurAirports"
3795,"Muir Army Air Field (Fort Indiantown Gap) Airport","Muir","United States","MUI","KMUI",40.43479919,-76.56939697,488,-5,"A","America/New_York","airport","OurAirports"
3796,"Kapalua Airport","Lahania-kapalua","United States","JHM","PHJH",20.962900161743164,-156.67300415039062,256,-10,"N","Pacific/Honolulu","airport","OurAirports"
3797,"John F Kennedy International Airport","New York","United States","JFK","KJFK",40.63980103,-73.77890015,13,-5,"A","America/New_York","airport","OurAirports"
3798,"Homestead ARB Airport","Homestead","United States","HST","KHST",25.48859978,-80.38359833,5,-5,"A","America/New_York","airport","OurAirports"
3799,"Riverside Municipal Airport","Riverside","United States","RAL","KRAL",33.95190048,-117.4449997,819,-8,"A","America/Los_Angeles","airport","OurAirports"
3800,"Sherman Army Air Field","Fort Leavenworth","United States","FLV","KFLV",39.3683013916,-94.9147033691,772,-6,"A","America/Chicago","airport","OurAirports"
3801,"Wallops Flight Facility Airport","Wallops Island","United States","WAL","KWAL",37.9402008057,-75.4664001465,40,-5,"A","America/New_York","airport","OurAirports"
3802,"Holloman Air Force Base","Alamogordo","United States","HMN","KHMN",32.8525009155,-106.107002258,4093,-7,"A","America/Denver","airport","OurAirports"
3803,"Willow Grove Naval Air Station/Joint Reserve Base","Willow Grove","United States","NXX","KNXX",40.19979858,-75.14820099,358,-5,"A","America/New_York","airport","OurAirports"
3804,"Cheyenne Regional Jerry Olson Field","Cheyenne","United States","CYS","KCYS",41.15570068,-104.8119965,6159,-7,"A","America/Denver","airport","OurAirports"
3805,"Stockton Metropolitan Airport","Stockton","United States","SCK","KSCK",37.894199371338,-121.2379989624,33,-8,"A","America/Los_Angeles","airport","OurAirports"
3806,"Charleston Air Force Base-International Airport","Charleston","United States","CHS","KCHS",32.89860153,-80.04049683,46,-5,"A","America/New_York","airport","OurAirports"
3807,"Reno Tahoe International Airport","Reno","United States","RNO","KRNO",39.49909973144531,-119.76799774169922,4415,-8,"A","America/Los_Angeles","airport","OurAirports"
3808,"Ketchikan International Airport","Ketchikan","United States","KTN","PAKT",55.35559845,-131.7140045,89,-9,"A","America/Anchorage","airport","OurAirports"
3809,"Willow Run Airport","Detroit","United States","YIP","KYIP",42.23789978,-83.53040314,716,-5,"A","America/New_York","airport","OurAirports"
3810,"Vandenberg Air Force Base","Lompoc","United States","VBG","KVBG",34.7373008728,-120.583999634,369,-8,"A","America/Los_Angeles","airport","OurAirports"
3811,"Birmingham-Shuttlesworth International Airport","Birmingham","United States","BHM","KBHM",33.56290054,-86.75350189,650,-6,"A","America/Chicago","airport","OurAirports"
3812,"Lakehurst Maxfield Field Airport","Lakehurst","United States","NEL","KNEL",40.03329849,-74.353302,101,-5,"A","America/New_York","airport","OurAirports"
3814,"Nellis Air Force Base","Las Vegas","United States","LSV","KLSV",36.2361984253,-115.033996582,1870,-8,"A","America/Los_Angeles","airport","OurAirports"
3815,"March ARB Airport","Riverside","United States","RIV","KRIV",33.88069916,-117.2590027,1536,-8,"A","America/Los_Angeles","airport","OurAirports"
3816,"Modesto City Co-Harry Sham Field","Modesto","United States","MOD","KMOD",37.62580109,-120.9540024,97,-8,"A","America/Los_Angeles","airport","OurAirports"
3817,"Sacramento International Airport","Sacramento","United States","SMF","KSMF",38.69540023803711,-121.59100341796875,27,-8,"A","America/Los_Angeles","airport","OurAirports"
3818,"Waukegan National Airport","Chicago","United States","UGN","KUGN",42.422199249268,-87.867897033691,727,-6,"A","America/Chicago","airport","OurAirports"
3819,"City of Colorado Springs Municipal Airport","Colorado Springs","United States","COS","KCOS",38.805801391602,-104.70099639893,6187,-7,"A","America/Denver","airport","OurAirports"
3820,"Buffalo Niagara International Airport","Buffalo","United States","BUF","KBUF",42.94049835,-78.73220062,728,-5,"A","America/New_York","airport","OurAirports"
3821,"Griffing Sandusky Airport","Sandusky","United States","SKY","KSKY",41.4333992004,-82.6522979736,580,-5,"A","America/New_York","airport","OurAirports"
3822,"Snohomish County (Paine Field) Airport","Everett","United States","PAE","KPAE",47.90629959,-122.2819977,606,-8,"A","America/Los_Angeles","airport","OurAirports"
3823,"Mountain Home Air Force Base","Mountain Home","United States","MUO","KMUO",43.043598,-115.872002,2996,-7,"A","America/Denver","airport","OurAirports"
3824,"Cedar City Regional Airport","Cedar City","United States","CDC","KCDC",37.70100021362305,-113.0989990234375,5622,-7,"A","America/Denver","airport","OurAirports"
3825,"Bradley International Airport","Windsor Locks","United States","BDL","KBDL",41.9388999939,-72.68319702149999,173,-5,"A","America/New_York","airport","OurAirports"
3826,"Mc Allen Miller International Airport","Mcallen","United States","MFE","KMFE",26.17580032,-98.23860168,107,-6,"A","America/Chicago","airport","OurAirports"
3827,"Norfolk Ns (Chambers Fld) Airport","Norfolk","United States","NGU","KNGU",36.93759918,-76.28929901,17,-5,"A","America/New_York","airport","OurAirports"
